Date,Client,Mission Reference,Prix Client,Prix Driver,Adresse de départ,Adresse d'arrivée,Retard driver,Driver login,mission Status,Distance total,Durée de la mission,Rating Client
2023-04-17,Company A,EUz6kKq,106,45,1 rue de l'ile de France 94460 Valenton,"2 Allée des Aulnes, Trappes, France",-187,test_3@test.com,FINISHED,86,57,
2023-04-17,Company B,GHle2KU,30,23,"120 Avenue Saint-Exupéry, Antony, France","74, route de la Reine 92100 Boulogne",-122,test_4@test.com,FINISHED,36,80,
2023-04-17,Company C,668k6ee,22.5,15,"13 Rue du Commerce, Paris, France","93 Avenue Emile Zola, 75015 Paris, France",-93,test_1@test.com,FINISHED,2,21,
2023-04-17,Company C,Z8lxGlD,22.5,20,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","22 Rue Thuret, L'Hay-les-Roses, France",-154,test_2@test.com,FINISHED,30,58,4
2023-04-17,Company D,IMkgFPA,551,477.04,"15 Rue d'Ebersheim, 67600 Sélestat, France","3 Imp. des Vignes, 49360 Toutlemonde, France",-335,test_5@test.com,FINISHED,"1,558",573,2
2023-04-17,Company D,ju68vsi,199,140,"Rue de Gautray, Saint-Cyr-en-Val, France","Rue du Bois Barbier, 60880 Le Meux, France",-426,test_4@test.com,FINISHED,436,252,
2023-04-17,Company E,3cwHLuH,22.5,20,"117 Rue Charles Michels, Saint-Denis, France","80 Rue de Longchamp, 75016 Paris, France",-96,test_2@test.com,FINISHED,24,62,4
2023-04-17,Company E,LTxE09P,22.5,NULL,"61 Rue Henri Regnault, Courbevoie, France","116 Avenue Henri Barbusse, 92700 Colombes, France",-128,test_1@test.com,FINISHED,8,32,
2023-04-17,Company E,LYItNMu,22.5,NULL,"116 Avenue Henri Barbusse, 92700 Colombes, France","61 Rue Henri Regnault, Courbevoie, France",100000,test_5@test.com,FINISHED,8,26,2
2023-04-17,Company E,NbrOFnn,35,NULL,"29 Rue Pierre Lamandé, Houilles, France","10 Av. de Saint-Germain, 78560 Le Port-Marly, France",193,test_1@test.com,FINISHED,26,46,
2023-04-17,Company F,GAc1JRq,44,30,"30 Rue de Paris, 93130 Noisy-le-Sec, France","64 Rue des Vanesses, Villepinte, France",-104,test_2@test.com,FINISHED,28,17,4
2023-04-17,Company F,KSCA2Bl,25,20,"77 Rue Vergniaud, Paris, France","11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France",-147,test_5@test.com,FINISHED,14,40,2
2023-04-17,Company F,PqNM5Ur,25,20,"11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France","77 Rue Vergniaud, Paris, France",-154,test_5@test.com,FINISHED,14,34,2
2023-04-17,Company F,SMpLYqI,44,30,"64 Rue des Vanesses, Villepinte, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-137,test_2@test.com,FINISHED,28,42,5
2023-04-17,Company F,oIG89je,25,20,"8 Rue de Rémusat, Paris, France","11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France",-150,test_1@test.com,FINISHED,32,49,
2023-04-17,Company G,B0C7zzJ,465,521,"Rue du Bois Barbier, 60880 Le Meux, France","120 Av. François Mitterrand, 13170 Les Pennes-Mirabeau, France",650,test_4@test.com,FINISHED,"1,81","1,539",
2023-04-17,Company G,Lp8xpu6,465,378,"Rue Santos Dumont, 44860 Saint-Aignan-Grandlieu, France","Rue des Garennes, Reyrieux, France",-200,test_2@test.com,FINISHED,"1,236",479,5
